Labels:; RVT81 Vlhkost_0,3m; RVT81 Teplota_0,3m; RVT81 Vlhkost 2m; RVT81 Teplota 2m; PT100 Teplota; PT100 Teplota 2; WS200 Rychlost Větru; WS200 Směr Větru; Hukseflux; NR Lite 2; Srážkoměr; Vlhk. půdy 10cm; Tepl. půdy 10cm; Vlhk. půdy 25cm; Tepl. půdy 25cm; Abs. tlak vzduchu; WS200 Quality; WS200 V-MAX; VACCU; Srážkoměr
Units:; %; °C; %; °C; °C; °C; m/s; °; W/m2; W/m2; mm; %; °C; %; °C; hPa; %; m/s; V; mm
09.08.2024 00:01:00; 96.6; 10.0; 96.2; 9.9; 12.92; 12.00; 0.33; 14; 1.10; -3.67; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:02:00; 96.6; 9.9; 96.2; 9.9; 12.91; 12.00; 0.30; 65; 4.06; -3.67; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:03:00; 96.6; 9.9; 96.2; 9.8; 12.91; 12.00; 0.37; 3590; 2.60; -3.68; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:04:00; 96.6; 9.9; 96.2; 9.8; 12.91; 11.99; 0.38; 12; 3.16; -3.68; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:05:00; 96.6; 9.8; 96.2; 9.8; 12.91; 11.99; 0.32; 3541; 6.58; -3.68; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:06:00; 96.6; 9.8; 96.2; 9.8; 12.91; 11.99; 0.34; 83; 3.66; -3.68; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:07:00; 96.6; 9.7; 96.2; 9.7; 12.91; 11.99; 0.40; 84; 1.55; -3.68; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:08:00; 96.6; 9.8; 96.2; 9.8; 12.91; 11.99; 0.26; 60; 1.03; -3.68; 0.0; 76.2; 12.2; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:09:00; 96.6; 9.8; 96.2; 9.8; 12.91; 11.99; 0.29; 38; 1.29; -3.68; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:10:00; 96.6; 9.8; 96.2; 9.8; 12.90; 11.99; 0.28; 3540; 2.39; -3.68; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:11:00; 96.6; 9.8; 96.2; 9.8; 12.90; 11.99; 0.27; 3474; 0.97; -3.68; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 12.98; 116.4
09.08.2024 00:12:00; 96.6; 9.9; 96.2; 9.8; 12.90; 11.99; 0.17; 9; 1.85; -3.68; 0.0; 76.2; 12.0; 59.5; 13.1;  ;  ;  ; 13.09; 116.4
09.08.2024 00:13:00; 96.6; 9.8; 96.2; 9.8; 12.90; 11.98; 0.29; 3552; 5.35; -3.68; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:14:00; 96.6; 9.7; 96.2; 9.7; 12.89; 11.98; 0.26; 8; 4.95; -3.68; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:15:00; 96.6; 9.7; 96.2; 9.7; 12.89; 11.98; 0.32; 3411; 4.13; -3.67; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:16:00; 96.6; 9.7; 96.2; 9.7; 12.89; 11.98; 0.28; 24; 5.15; -3.67; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:17:00; 96.6; 9.7; 96.2; 9.7; 12.89; 11.98; 0.37; 40; 2.75; -3.67; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 12.98; 116.4
09.08.2024 00:18:00; 96.6; 9.6; 96.2; 9.6; 12.89; 11.98; 0.33; 84; 2.00; -3.67; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:19:00; 96.6; 9.6; 96.2; 9.6; 12.89; 11.98; 0.29; 131; 1.35; -3.66; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:20:00; 96.6; 9.7; 96.2; 9.7; 12.89; 11.97; 0.28; 3563; 1.09; -3.66; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:21:00; 96.6; 9.7; 96.2; 9.7; 12.88; 11.97; 0.28; 3319; 1.96; -3.66; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:22:00; 96.6; 9.7; 96.2; 9.7; 12.88; 11.97; 0.16; 3359; 1.31; -3.65; 0.0; 76.2; 12.2; 59.5; 13.1;  ;  ;  ; 12.98; 116.4
09.08.2024 00:23:00; 96.6; 9.7; 96.2; 9.7; 12.88; 11.97; 0.30; 3554; 1.57; -3.65; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:24:00; 96.6; 9.7; 96.2; 9.7; 12.88; 11.97; 0.24; 3442; 0.93; -3.65; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:25:00; 96.6; 9.7; 96.2; 9.7; 12.88; 11.97; 0.17; 3462; 0.99; -3.65; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 12.98; 116.4
09.08.2024 00:26:00; 96.6; 9.7; 96.2; 9.7; 12.87; 11.97; 0.19; 3418; 1.44; -3.64; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.09; 116.4
09.08.2024 00:27:00; 96.6; 9.7; 96.2; 9.7; 12.87; 11.97; 0.23; 3400; 1.10; -3.64; 0.0; 76.2; 12.1; 59.5; 13.0;  ;  ;  ; 13.04; 116.4
09.08.2024 00:28:00; 96.6; 9.8; 96.2; 9.7; 12.87; 11.97; 0.28; 3483; 0.84; -3.63; 0.0; 76.2; 12.1; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:29:00; 96.6; 9.8; 96.2; 9.8; 12.87; 11.97; 0.23; 3473; 1.35; -3.63; 0.0; 76.2; 12.1; 59.5; 13.0;  ;  ;  ; 13.04; 116.4
09.08.2024 00:30:00; 96.6; 9.8; 96.2; 9.8; 12.87; 11.97; 0.30; 3586; 1.20; -3.63; 0.0; 76.2; 12.0; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
09.08.2024 00:31:00; 96.6; 9.8; 96.2; 9.8; 12.87; 11.96; 0.31; 3474; 1.60; -3.62; 0.0; 76.2; 12.1; 59.5; 13.0;  ;  ;  ; 13.04; 116.4
09.08.2024 00:32:00; 96.6; 9.8; 96.2; 9.8; 12.86; 11.96; 0.30; 3411; 3.26; -3.62; 0.0; 76.2; 12.1; 59.5; 13.0;  ;  ;  ; 13.04; 116.4
09.08.2024 00:33:00; 96.6; 9.8; 96.2; 9.8; 12.86; 11.96; 0.16; 3454; 5.17; -3.62; 0.0; 76.2; 12.1; 59.5; 13.0;  ;  ;  ; 13.04; 116.4
09.08.2024 00:34:00; 96.6; 9.8; 96.2; 9.8; 12.86; 11.96; 0.27; 3496; 2.80; -3.61; 0.0; 76.2; 12.2; 59.5; 13.1;  ;  ;  ; 13.04; 116.4
