Labels:; RVT81 Vlhkost_0,3m; RVT81 Teplota_0,3m; RVT81 Vlhkost 2m; RVT81 Teplota 2m; PT100 Teplota; PT100 Teplota 2; WS200 Rychlost Větru; WS200 Směr Větru; Hukseflux; NR Lite 2; Srážkoměr; Vlhk. půdy 10cm; Tepl. půdy 10cm; Vlhk. půdy 25cm; Tepl. půdy 25cm; Abs. tlak vzduchu; WS200 Quality; WS200 V-MAX; VACCU; Srážkoměr
Units:; %; °C; %; °C; °C; °C; m/s; °; W/m2; W/m2; mm; %; °C; %; °C; hPa; %; m/s; V; mm
07.08.2024 00:01:00; 77.1; 9.2; 71.8; 10.2; 12.55; 11.44; 0.17; 2020; 15.29; -5.37; 0.0; 76.4; 11.9; 59.7; 12.4;  ;  ;  ; 13.04; 108.6
07.08.2024 00:02:00; 77.3; 9.2; 72.2; 10.3; 12.55; 11.44; 0.23; 2177; 15.31; -5.38; 0.0; 76.4; 11.9; 59.7; 12.4;  ;  ;  ; 13.04; 108.6
07.08.2024 00:03:00; 77.3; 9.2; 72.0; 10.3; 12.55; 11.44; 0.26; 2014; 15.54; -5.39; 0.0; 76.4; 12.0; 59.7; 12.4;  ;  ;  ; 13.04; 108.6
07.08.2024 00:04:00; 77.2; 9.2; 72.2; 10.2; 12.54; 11.44; 0.08; 2081; 14.65; -5.40; 0.0; 76.4; 12.0; 59.7; 12.4;  ;  ;  ; 13.09; 108.6
07.08.2024 00:05:00; 77.0; 9.2; 71.7; 10.3; 12.54; 11.43; 0.20; 2008; 14.87; -5.41; 0.0; 76.4; 12.0; 59.7; 12.4;  ;  ;  ; 13.04; 108.6
07.08.2024 00:06:00; 77.5; 9.2; 72.0; 10.3; 12.54; 11.43; 0.14; 1900; 14.24; -5.42; 0.0; 76.4; 12.0; 59.7; 12.4;  ;  ;  ; 13.04; 108.6
07.08.2024 00:07:00; 77.7; 9.1; 71.8; 10.4; 12.54; 11.43; 0.19; 2419; 13.62; -5.43; 0.0; 76.4; 12.0; 59.7; 12.4;  ;  ;  ; 13.04; 108.6
07.08.2024 00:08:00; 78.1; 9.1; 71.8; 10.4; 12.53; 11.42; 0.12; 2032; 14.33; -5.44; 0.0; 76.3; 12.0; 59.7; 12.4;  ;  ;  ; 13.04; 108.6
07.08.2024 00:09:00; 78.0; 9.1; 72.2; 10.3; 12.53; 11.42; 0.12; 1942; 14.68; -5.44; 0.0; 76.4; 12.0; 59.7; 12.4;  ;  ;  ; 13.09; 108.6
