Labels:; RVT81 Vlhkost_0,3m; RVT81 Teplota_0,3m; RVT81 Vlhkost 2m; RVT81 Teplota 2m; PT100 Teplota; PT100 Teplota 2; WS200 Rychlost Větru; WS200 Směr Větru; Hukseflux; NR Lite 2; Srážkoměr; Vlhk. půdy 10cm; Tepl. půdy 10cm; Vlhk. půdy 25cm; Tepl. půdy 25cm; Abs. tlak vzduchu; WS200 Quality; WS200 V-MAX; VACCU; Srážkoměr
Units:; %; °C; %; °C; °C; °C; m/s; °; W/m2; W/m2; mm; %; °C; %; °C; hPa; %; m/s; V; mm
23.07.2024 00:10:00; 96.6; 10.5; 96.2; 10.8; 13.50; 13.04; 0.27; 3414; 15.95; -2.68; 0.0; 77.9; 12.3; 61.2; 14.0;  ;  ;  ; 13.09; 56.7
23.07.2024 00:20:00; 96.6; 10.7; 96.2; 10.9; 13.48; 13.02; 0.45; 3291; 16.43; -2.86; 0.0; 77.9; 12.3; 61.2; 13.9;  ;  ;  ; 13.04; 56.7
23.07.2024 00:30:00; 96.6; 10.4; 96.2; 10.7; 13.46; 13.00; 0.33; 3274; 17.68; -3.06; 0.0; 77.9; 12.3; 61.2; 13.8;  ;  ;  ; 13.09; 56.7
23.07.2024 00:40:00; 96.6; 10.2; 96.2; 10.5; 13.45; 12.97; 0.26; 3310; 14.64; -3.24; 0.0; 77.9; 12.3; 61.2; 13.8;  ;  ;  ; 13.04; 56.7
23.07.2024 00:50:00; 96.6; 10.2; 95.8; 10.6; 13.42; 12.95; 0.32; 3288; 16.36; -3.42; 0.0; 77.9; 12.3; 61.2; 13.7;  ;  ;  ; 13.04; 56.7
23.07.2024 01:00:00; 96.6; 10.2; 96.2; 10.5; 13.41; 12.92; 0.29; 3245; 12.29; -3.61; 0.0; 77.9; 12.3; 61.2; 13.6;  ;  ;  ; 13.04; 56.7
23.07.2024 01:10:00; 96.6; 10.4; 96.2; 10.6; 13.39; 12.90; 0.37; 3290; 5.58; -3.80; 0.0; 77.9; 12.3; 61.2; 13.6;  ;  ;  ; 13.04; 56.7
23.07.2024 01:20:00; 96.6; 10.2; 96.2; 10.5; 13.37; 12.88; 0.48; 3265; 15.18; -3.97; 0.0; 77.9; 12.3; 61.2; 13.5;  ;  ;  ; 13.04; 56.7
23.07.2024 01:30:00; 96.5; 9.8; 94.8; 10.1; 13.35; 12.85; 0.47; 3102; 15.73; -4.11; 0.0; 77.9; 12.3; 61.2; 13.5;  ;  ;  ; 13.04; 56.7
23.07.2024 01:40:00; 96.6; 9.9; 94.5; 10.2; 13.33; 12.82; 0.41; 3207; 14.63; -4.21; 0.0; 77.9; 12.3; 61.2; 13.4;  ;  ;  ; 13.04; 56.7
23.07.2024 01:50:00; 96.6; 9.8; 95.7; 10.1; 13.31; 12.78; 0.48; 3083; 15.63; -4.31; 0.0; 77.9; 12.3; 61.2; 13.4;  ;  ;  ; 13.04; 56.7
