Labels:; RVT81 Vlhkost_0,3m; RVT81 Teplota_0,3m; RVT81 Vlhkost 2m; RVT81 Teplota 2m; PT100 Teplota; PT100 Teplota 2; WS200 Rychlost Větru; WS200 Směr Větru; Hukseflux; NR Lite 2; Srážkoměr; Vlhk. půdy 10cm; Tepl. půdy 10cm; Vlhk. půdy 25cm; Tepl. půdy 25cm; Abs. tlak vzduchu; WS200 Quality; WS200 V-MAX; VACCU; Srážkoměr
Units:; %; °C; %; °C; °C; °C; m/s; °; W/m2; W/m2; mm; %; °C; %; °C; hPa; %; m/s; V; mm
28.08.2024 00:01:00; 94.1; 11.4; 92.5; 11.8; 14.05; 12.62; 4.10; 142; 15.12; -3.16; 0.0; 74.7; 12.5; 53.5; 14.1;  ;  ;  ; 13.09; 218.5
28.08.2024 00:02:00; 94.3; 11.4; 92.5; 11.8; 14.04; 12.61; 4.10; 142; 13.98; -3.17; 0.0; 74.7; 12.5; 53.5; 14.1;  ;  ;  ; 13.04; 218.5
28.08.2024 00:03:00; 94.3; 11.4; 92.8; 11.7; 14.04; 12.61; 4.20; 142; 14.56; -3.17; 0.0; 74.7; 12.5; 53.5; 14.1;  ;  ;  ; 13.04; 218.5
28.08.2024 00:04:00; 94.6; 11.4; 93.0; 11.8; 14.04; 12.61; 4.20; 142; 14.00; -3.19; 0.0; 74.7; 12.5; 53.5; 14.1;  ;  ;  ; 13.09; 218.5
28.08.2024 00:05:00; 94.4; 11.4; 92.7; 11.8; 14.03; 12.61; 4.30; 143; 13.66; -3.19; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 13.04; 218.5
28.08.2024 00:06:00; 94.5; 11.4; 92.8; 11.8; 14.03; 12.61; 4.30; 143; 14.27; -3.20; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 13.04; 218.5
28.08.2024 00:07:00; 94.3; 11.6; 92.3; 11.9; 14.03; 12.61; 4.40; 142; 14.78; -3.21; 0.0; 74.7; 12.5; 53.5; 14.1;  ;  ;  ; 12.98; 218.5
28.08.2024 00:08:00; 93.9; 11.5; 92.4; 11.8; 14.02; 12.61; 4.50; 140; 14.64; -3.22; 0.0; 74.7; 12.5; 53.5; 14.1;  ;  ;  ; 13.04; 218.5
28.08.2024 00:09:00; 94.0; 11.4; 92.5; 11.7; 14.02; 12.61; 4.60; 136; 14.76; -3.23; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 13.04; 218.5
28.08.2024 00:10:00; 94.0; 11.3; 92.7; 11.6; 14.01; 12.60; 4.60; 136; 14.00; -3.24; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 13.04; 218.5
28.08.2024 00:11:00; 94.3; 11.3; 92.8; 11.7; 14.01; 12.60; 4.60; 136; 13.52; -3.24; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 13.04; 218.5
28.08.2024 00:12:00; 94.2; 11.3; 92.6; 11.6; 14.01; 12.60; 4.60; 135; 14.00; -3.25; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 13.04; 218.5
28.08.2024 00:13:00; 94.1; 11.3; 92.5; 11.6; 14.01; 12.60; 4.70; 134; 13.87; -3.26; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 13.04; 218.5
28.08.2024 00:14:00; 94.1; 11.2; 92.6; 11.6; 14.00; 12.60; 4.70; 132; 13.92; -3.27; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 13.04; 218.5
28.08.2024 00:15:00; 94.1; 11.2; 92.7; 11.5; 14.00; 12.60; 4.70; 130; 13.76; -3.27; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 12.98; 218.5
28.08.2024 00:16:00; 94.2; 11.2; 92.9; 11.4; 13.99; 12.60; 4.70; 129; 14.07; -3.28; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 13.04; 218.5
28.08.2024 00:17:00; 94.2; 11.1; 93.0; 11.4; 13.99; 12.59; 4.60; 130; 12.66; -3.29; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 13.04; 218.5
28.08.2024 00:18:00; 94.6; 11.1; 93.2; 11.4; 13.99; 12.60; 4.50; 131; 12.70; -3.29; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 13.04; 218.5
28.08.2024 00:19:00; 94.5; 11.1; 92.9; 11.5; 13.99; 12.59; 4.50; 130; 13.17; -3.30; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 12.98; 218.5
28.08.2024 00:20:00; 94.3; 11.2; 92.7; 11.5; 13.98; 12.59; 4.60; 129; 12.98; -3.31; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 13.04; 218.5
28.08.2024 00:21:00; 94.4; 11.2; 92.7; 11.5; 13.98; 12.59; 4.60; 128; 13.44; -3.31; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 13.04; 218.5
28.08.2024 00:22:00; 94.4; 11.2; 92.9; 11.5; 13.97; 12.59; 4.60; 127; 13.61; -3.32; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 13.09; 218.5
28.08.2024 00:23:00; 94.4; 11.2; 92.6; 11.5; 13.97; 12.59; 4.50; 127; 13.83; -3.33; 0.0; 74.7; 12.5; 53.5; 14.0;  ;  ;  ; 13.04; 218.5
28.08.2024 00:24:00; 94.3; 11.3; 92.6; 11.6; 13.97; 12.59; 4.60; 128; 13.26; -3.33; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:25:00; 94.4; 11.3; 92.1; 11.6; 13.97; 12.58; 4.70; 127; 14.16; -3.34; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:26:00; 94.3; 11.2; 92.7; 11.6; 13.96; 12.58; 4.70; 128; 13.70; -3.35; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:27:00; 94.5; 11.3; 92.9; 11.6; 13.96; 12.58; 4.70; 127; 12.85; -3.35; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:28:00; 94.4; 11.3; 93.0; 11.6; 13.96; 12.58; 4.70; 127; 13.81; -3.36; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:29:00; 94.3; 11.3; 92.5; 11.6; 13.95; 12.58; 4.60; 126; 14.50; -3.36; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:30:00; 94.2; 11.2; 92.6; 11.6; 13.95; 12.58; 4.60; 127; 13.83; -3.37; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:31:00; 94.2; 11.2; 92.8; 11.5; 13.94; 12.58; 4.50; 128; 14.10; -3.38; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:32:00; 94.4; 11.2; 92.8; 11.5; 13.94; 12.58; 4.50; 129; 13.63; -3.39; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:33:00; 94.3; 11.1; 92.7; 11.4; 13.94; 12.57; 4.40; 129; 13.64; -3.39; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:34:00; 94.6; 11.2; 93.0; 11.5; 13.94; 12.57; 4.30; 130; 13.47; -3.40; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 12.98; 218.5
28.08.2024 00:35:00; 94.3; 11.1; 93.0; 11.4; 13.93; 12.57; 4.30; 131; 13.59; -3.40; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:36:00; 94.4; 11.0; 93.3; 11.3; 13.93; 12.57; 4.20; 130; 13.32; -3.41; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:37:00; 94.8; 11.2; 93.7; 11.5; 13.93; 12.57; 4.10; 132; 12.38; -3.42; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:38:00; 95.1; 11.3; 93.5; 11.6; 13.92; 12.57; 4.10; 134; 12.27; -3.42; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:39:00; 94.7; 11.2; 93.0; 11.6; 13.92; 12.57; 4.00; 133; 13.00; -3.43; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:40:00; 94.6; 11.2; 93.0; 11.6; 13.92; 12.56; 4.00; 133; 12.87; -3.44; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 12.98; 218.5
28.08.2024 00:41:00; 94.7; 11.3; 93.0; 11.7; 13.91; 12.56; 4.00; 132; 12.28; -3.44; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:42:00; 94.8; 11.4; 93.2; 11.7; 13.91; 12.56; 4.00; 131; 12.91; -3.45; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:43:00; 94.8; 11.3; 93.4; 11.7; 13.91; 12.56; 3.90; 130; 12.06; -3.45; 0.0; 74.7; 12.5; 53.5; 13.8;  ;  ;  ; 12.98; 218.5
28.08.2024 00:44:00; 95.0; 11.5; 92.9; 11.8; 13.90; 12.56; 4.00; 130; 13.20; -3.46; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:45:00; 94.7; 11.6; 92.5; 12.0; 13.90; 12.55; 4.10; 129; 12.89; -3.47; 0.0; 74.7; 12.5; 53.5; 13.8;  ;  ;  ; 12.98; 218.5
28.08.2024 00:46:00; 94.4; 11.4; 92.6; 11.8; 13.90; 12.56; 4.30; 125; 14.61; -3.47; 0.0; 74.7; 12.5; 53.5; 13.8;  ;  ;  ; 12.98; 218.5
28.08.2024 00:47:00; 94.6; 11.3; 93.2; 11.7; 13.89; 12.55; 4.20; 123; 13.89; -3.48; 0.0; 74.7; 12.5; 53.5; 13.9;  ;  ;  ; 13.04; 218.5
28.08.2024 00:48:00; 94.9; 11.4; 93.2; 11.8; 13.89; 12.55; 4.20; 122; 12.38; -3.48; 0.0; 74.7; 12.5; 53.5; 13.8;  ;  ;  ; 13.04; 218.5
28.08.2024 00:49:00; 94.9; 11.4; 93.3; 11.8; 13.89; 12.55; 4.20; 122; 13.21; -3.49; 0.0; 74.7; 12.5; 53.5; 13.8;  ;  ;  ; 13.04; 218.5
28.08.2024 00:50:00; 95.0; 11.5; 93.1; 11.8; 13.88; 12.55; 4.20; 122; 12.86; -3.50; 0.0; 74.7; 12.5; 53.5; 13.8;  ;  ;  ; 12.98; 218.5
28.08.2024 00:51:00; 94.8; 11.5; 93.0; 11.9; 13.88; 12.55; 4.20; 123; 13.77; -3.51; 0.0; 74.7; 12.5; 53.5; 13.8;  ;  ;  ; 12.98; 218.5
