Labels:; RVT81 Vlhkost_0,3m; RVT81 Teplota_0,3m; RVT81 Vlhkost 2m; RVT81 Teplota 2m; PT100 Teplota; PT100 Teplota 2; WS200 Rychlost Větru; WS200 Směr Větru; Hukseflux; NR Lite 2; Srážkoměr; Vlhk. půdy 10cm; Tepl. půdy 10cm; Vlhk. půdy 25cm; Tepl. půdy 25cm; Abs. tlak vzduchu; WS200 Quality; WS200 V-MAX; VACCU; Srážkoměr
Units:; %; °C; %; °C; °C; °C; m/s; °; W/m2; W/m2; mm; %; °C; %; °C; hPa; %; m/s; V; mm
26.07.2024 00:10:00; 91.5; 5.6; 86.4; 6.4; 13.54; 11.47; 0.25; 2617; 15.24; -7.83; 0.0; 77.6; 12.2; 56.5; 12.9;  ;  ;  ; 13.04; 60.7
26.07.2024 00:20:00; 92.6; 5.3; 87.0; 6.3; 13.50; 11.40; 0.23; 2675; 14.61; -7.88; 0.0; 77.5; 12.2; 56.5; 12.8;  ;  ;  ; 13.04; 60.7
26.07.2024 00:30:00; 91.9; 5.5; 86.5; 6.4; 13.46; 11.35; 0.26; 2641; 15.19; -7.94; 0.0; 77.6; 12.2; 56.5; 12.8;  ;  ;  ; 13.04; 60.7
26.07.2024 00:40:00; 93.4; 5.2; 87.5; 6.4; 13.42; 11.29; 0.21; 2632; 14.86; -8.01; 0.0; 77.5; 12.3; 56.5; 12.7;  ;  ;  ; 13.04; 60.7
26.07.2024 00:50:00; 93.6; 5.4; 87.6; 6.6; 13.38; 11.23; 0.24; 2578; 15.53; -8.08; 0.0; 77.5; 12.2; 56.5; 12.6;  ;  ;  ; 13.04; 60.7
26.07.2024 01:00:00; 93.7; 5.8; 88.5; 6.9; 13.34; 11.18; 0.26; 2726; 16.75; -8.14; 0.0; 77.5; 12.3; 56.5; 12.6;  ;  ;  ; 13.04; 60.7
26.07.2024 01:10:00; 93.5; 5.9; 87.7; 6.9; 13.30; 11.13; 0.24; 2684; 14.89; -8.21; 0.0; 77.5; 12.3; 56.5; 12.5;  ;  ;  ; 12.98; 60.7
26.07.2024 01:20:00; 92.2; 6.0; 87.7; 6.8; 13.26; 11.08; 0.24; 2736; 14.68; -8.27; 0.0; 77.5; 12.2; 56.5; 12.4;  ;  ;  ; 13.04; 60.7
26.07.2024 01:30:00; 92.5; 6.2; 87.5; 7.3; 13.22; 11.03; 0.27; 2852; 15.56; -8.31; 0.0; 77.5; 12.2; 56.5; 12.4;  ;  ;  ; 12.98; 60.7
26.07.2024 01:40:00; 91.9; 6.5; 86.5; 7.5; 13.18; 10.99; 0.17; 2674; 14.37; -8.36; 0.0; 77.5; 12.2; 56.5; 12.3;  ;  ;  ; 12.98; 60.7
26.07.2024 01:50:00; 92.1; 6.3; 86.9; 7.4; 13.14; 10.95; 0.23; 2889; 14.95; -8.40; 0.0; 77.5; 12.3; 56.5; 12.3;  ;  ;  ; 12.98; 60.7
26.07.2024 02:00:00; 91.7; 6.3; 86.0; 7.3; 13.10; 10.92; 0.24; 2651; 14.61; -8.43; 0.0; 77.5; 12.3; 56.5; 12.2;  ;  ;  ; 12.98; 60.7
26.07.2024 02:10:00; 92.2; 5.8; 87.0; 6.7; 13.07; 10.88; 0.21; 2710; 13.94; -8.45; 0.0; 77.5; 12.2; 56.5; 12.2;  ;  ;  ; 13.04; 60.7
26.07.2024 02:20:00; 92.6; 5.6; 87.4; 6.8; 13.03; 10.85; 0.23; 2757; 14.01; -8.48; 0.0; 77.5; 12.2; 56.5; 12.1;  ;  ;  ; 12.98; 60.7
26.07.2024 02:30:00; 92.8; 5.8; 87.2; 7.1; 12.99; 10.82; 0.26; 2844; 14.92; -8.50; 0.0; 77.5; 12.2; 56.5; 12.0;  ;  ;  ; 13.04; 60.7
26.07.2024 02:40:00; 92.6; 5.9; 86.1; 7.1; 12.95; 10.79; 0.24; 2739; 14.13; -8.53; 0.0; 77.5; 12.2; 56.5; 12.0;  ;  ;  ; 12.98; 60.7
26.07.2024 02:50:00; 92.7; 5.6; 86.9; 6.8; 12.91; 10.76; 0.24; 2844; 13.87; -8.56; 0.0; 77.5; 12.2; 56.5; 12.0;  ;  ;  ; 12.93; 60.7
26.07.2024 03:00:00; 93.1; 5.8; 87.1; 7.0; 12.88; 10.73; 0.23; 2863; 14.58; -8.58; 0.0; 77.5; 12.3; 56.5; 11.9;  ;  ;  ; 12.98; 60.7
26.07.2024 03:10:00; 92.6; 5.9; 87.5; 7.0; 12.84; 10.71; 0.26; 2671; 14.51; -8.61; 0.0; 77.5; 12.3; 56.5; 11.9;  ;  ;  ; 12.98; 60.7
26.07.2024 03:20:00; 92.4; 6.0; 87.1; 7.1; 12.80; 10.68; 0.20; 2628; 14.24; -8.62; 0.0; 77.5; 12.3; 56.5; 11.8;  ;  ;  ; 12.98; 60.7
26.07.2024 03:30:00; 91.8; 6.3; 86.2; 7.4; 12.77; 10.65; 0.31; 2814; 15.32; -8.63; 0.0; 77.5; 12.3; 56.5; 11.8;  ;  ;  ; 12.98; 60.7
26.07.2024 03:40:00; 90.5; 6.5; 85.5; 7.4; 12.73; 10.62; 0.26; 2725; 14.77; -8.63; 0.0; 77.5; 12.3; 56.5; 11.7;  ;  ;  ; 12.98; 60.7
26.07.2024 03:50:00; 92.0; 6.2; 86.4; 7.4; 12.70; 10.59; 0.28; 2855; 15.19; -8.64; 0.0; 77.5; 12.3; 56.5; 11.7;  ;  ;  ; 12.93; 60.7
26.07.2024 04:00:00; 91.8; 6.1; 86.6; 6.9; 12.66; 10.57; 0.21; 3099; 13.53; -8.65; 0.0; 77.5; 12.3; 56.5; 11.7;  ;  ;  ; 12.93; 60.7
26.07.2024 04:10:00; 90.7; 6.5; 84.7; 7.7; 12.63; 10.54; 0.26; 2850; 16.20; -8.65; 0.0; 77.5; 12.3; 56.5; 11.6;  ;  ;  ; 12.93; 60.7
26.07.2024 04:20:00; 89.5; 6.6; 83.2; 7.6; 12.59; 10.52; 0.20; 2697; 13.90; -8.65; 0.0; 77.5; 12.2; 56.5; 11.5;  ;  ;  ; 12.98; 60.7
26.07.2024 04:30:00; 92.2; 5.6; 87.0; 6.7; 12.56; 10.49; 0.21; 2784; 13.69; -8.66; 0.0; 77.5; 12.2; 56.5; 11.6;  ;  ;  ; 12.93; 60.7
26.07.2024 04:40:00; 89.0; 6.7; 82.5; 7.8; 12.53; 10.47; 0.27; 2914; 14.44; -8.67; 0.0; 77.5; 12.3; 56.5; 11.5;  ;  ;  ; 12.98; 60.7
