Labels:; RVT81 Vlhkost_0,3m; RVT81 Teplota_0,3m; RVT81 Vlhkost 2m; RVT81 Teplota 2m; PT100 Teplota; PT100 Teplota 2; WS200 Rychlost Větru; WS200 Směr Větru; Hukseflux; NR Lite 2; Srážkoměr; Vlhk. půdy 10cm; Tepl. půdy 10cm; Vlhk. půdy 25cm; Tepl. půdy 25cm; Abs. tlak vzduchu; WS200 Quality; WS200 V-MAX; VACCU; Srážkoměr
Units:; %; °C; %; °C; °C; °C; m/s; °; W/m2; W/m2; mm; %; °C; %; °C; hPa; %; m/s; V; mm
24.07.2024 00:10:00; 92.8; 11.6; 90.4; 11.8; 13.89; 12.77; 0.49; 2687; 12.69; -2.18; 0.0; 77.8; 12.3; 58.2; 14.5;  ;  ;  ; 13.04; 57.2
24.07.2024 00:20:00; 92.0; 11.9; 89.6; 12.2; 13.86; 12.74; 0.50; 2771; 8.86; -2.31; 0.0; 77.8; 12.3; 58.2; 14.4;  ;  ;  ; 13.14; 57.2
24.07.2024 00:30:00; 93.8; 11.7; 91.5; 12.0; 13.83; 12.71; 0.59; 3019; 12.53; -2.43; 0.0; 77.8; 12.3; 58.2; 14.4;  ;  ;  ; 13.09; 57.2
24.07.2024 00:40:00; 94.9; 11.8; 93.0; 11.9; 13.81; 12.67; 0.44; 3008; 3.72; -2.54; 0.0; 77.8; 12.2; 58.2; 14.4;  ;  ;  ; 13.04; 57.2
24.07.2024 00:50:00; 95.8; 11.7; 94.1; 11.8; 13.78; 12.65; 0.48; 2896; 2.59; -2.61; 0.0; 77.8; 12.3; 58.2; 14.3;  ;  ;  ; 13.04; 57.2
24.07.2024 01:00:00; 93.7; 11.6; 92.1; 11.7; 13.75; 12.63; 0.42; 3143; 10.06; -2.64; 0.0; 77.8; 12.3; 58.2; 14.3;  ;  ;  ; 13.04; 57.2
24.07.2024 01:10:00; 94.6; 11.1; 92.7; 11.3; 13.72; 12.60; 0.32; 3187; 9.79; -2.62; 0.0; 77.8; 12.3; 58.2; 14.2;  ;  ;  ; 13.04; 57.2
24.07.2024 01:20:00; 95.7; 10.8; 93.8; 11.0; 13.69; 12.58; 0.32; 3165; 10.21; -2.61; 0.0; 77.8; 12.2; 58.2; 14.2;  ;  ;  ; 13.04; 57.2
24.07.2024 01:30:00; 94.2; 10.8; 92.1; 10.9; 13.66; 12.56; 0.30; 3185; 8.39; -2.65; 0.0; 77.8; 12.3; 58.2; 14.1;  ;  ;  ; 13.04; 57.2
24.07.2024 01:40:00; 93.0; 10.7; 90.7; 10.9; 13.63; 12.55; 0.51; 3367; 6.07; -2.74; 0.0; 77.8; 12.3; 58.2; 14.1;  ;  ;  ; 13.04; 57.2
24.07.2024 01:50:00; 93.8; 10.5; 91.7; 10.7; 13.61; 12.53; 0.32; 3282; 12.56; -2.84; 0.0; 77.8; 12.3; 58.2; 14.1;  ;  ;  ; 13.04; 57.2
24.07.2024 02:00:00; 91.9; 10.4; 89.6; 10.6; 13.58; 12.51; 0.46; 3280; 14.49; -2.92; 0.0; 77.8; 12.3; 58.1; 14.0;  ;  ;  ; 13.04; 57.2
24.07.2024 02:10:00; 92.3; 10.5; 89.6; 10.8; 13.55; 12.49; 0.55; 3292; 11.04; -3.03; 0.0; 77.8; 12.3; 58.1; 14.0;  ;  ;  ; 13.04; 57.2
24.07.2024 02:20:00; 93.0; 10.3; 90.6; 10.6; 13.53; 12.47; 0.41; 3445; 11.83; -3.17; 0.0; 77.8; 12.3; 58.1; 13.9;  ;  ;  ; 13.04; 57.2
24.07.2024 02:30:00; 94.5; 10.0; 92.4; 10.2; 13.50; 12.45; 0.36; 3352; 10.47; -3.32; 0.0; 77.8; 12.3; 58.1; 13.9;  ;  ;  ; 13.04; 57.2
24.07.2024 02:40:00; 94.7; 9.8; 92.6; 10.0; 13.48; 12.43; 0.29; 2876; 12.11; -3.46; 0.0; 77.8; 12.3; 58.1; 13.8;  ;  ;  ; 12.98; 57.2
24.07.2024 02:50:00; 95.7; 9.4; 93.7; 9.7; 13.45; 12.41; 0.31; 2888; 12.16; -3.61; 0.0; 77.7; 12.3; 58.1; 13.8;  ;  ;  ; 13.04; 57.2
24.07.2024 03:00:00; 95.7; 9.7; 93.3; 10.0; 13.43; 12.38; 0.27; 2920; 6.26; -3.75; 0.0; 77.8; 12.3; 58.1; 13.8;  ;  ;  ; 12.98; 57.2
24.07.2024 03:10:00; 94.4; 10.3; 91.9; 10.6; 13.40; 12.36; 0.34; 3047; 4.78; -3.90; 0.0; 77.8; 12.3; 58.1; 13.7;  ;  ;  ; 13.04; 57.2
24.07.2024 03:20:00; 93.1; 10.5; 90.4; 10.7; 13.38; 12.33; 0.29; 3000; 5.33; -4.00; 0.0; 77.8; 12.3; 58.1; 13.6;  ;  ;  ; 13.04; 57.2
24.07.2024 03:30:00; 92.3; 10.5; 89.6; 10.8; 13.36; 12.30; 0.23; 2982; 6.27; -4.05; 0.0; 77.8; 12.3; 58.1; 13.6;  ;  ;  ; 13.04; 57.2
24.07.2024 03:40:00; 94.5; 10.2; 92.2; 10.4; 13.34; 12.28; 0.23; 2890; 6.08; -4.03; 0.0; 77.8; 12.3; 58.1; 13.6;  ;  ;  ; 13.04; 57.2
24.07.2024 03:50:00; 94.9; 10.1; 92.7; 10.4; 13.31; 12.25; 0.32; 3027; 7.95; -3.99; 0.0; 77.8; 12.3; 58.1; 13.5;  ;  ;  ; 12.98; 57.2
24.07.2024 04:00:00; 95.1; 10.0; 93.0; 10.2; 13.29; 12.23; 0.32; 2961; 9.15; -3.95; 0.0; 77.7; 12.3; 58.1; 13.5;  ;  ;  ; 13.04; 57.2
24.07.2024 04:10:00; 96.0; 9.8; 93.8; 10.0; 13.27; 12.21; 0.31; 3076; 9.29; -3.92; 0.0; 77.8; 12.3; 58.1; 13.5;  ;  ;  ; 13.04; 57.2
24.07.2024 04:20:00; 95.6; 9.8; 93.6; 10.0; 13.24; 12.18; 0.31; 3036; 5.80; -3.92; 0.0; 77.8; 12.3; 58.1; 13.4;  ;  ;  ; 12.98; 57.2
24.07.2024 04:30:00; 95.9; 9.9; 93.8; 10.1; 13.22; 12.16; 0.33; 2955; 3.75; -3.95; 0.0; 77.8; 12.3; 58.1; 13.4;  ;  ;  ; 12.98; 57.2
24.07.2024 04:40:00; 95.3; 10.2; 93.3; 10.3; 13.20; 12.14; 0.24; 2859; 2.31; -3.98; 0.0; 77.8; 12.3; 58.1; 13.4;  ;  ;  ; 12.98; 57.2
24.07.2024 04:50:00; 96.6; 10.2; 94.8; 10.4; 13.18; 12.12; 0.23; 2929; 1.70; -4.00; 0.0; 77.8; 12.3; 58.1; 13.4;  ;  ;  ; 13.04; 57.2
24.07.2024 05:00:00; 96.6; 10.4; 95.3; 10.4; 13.16; 12.10; 0.30; 3024; 2.49; -3.98; 0.0; 77.8; 12.3; 58.1; 13.3;  ;  ;  ; 12.98; 57.2
24.07.2024 05:10:00; 96.6; 10.4; 95.2; 10.5; 13.13; 12.07; 0.19; 2991; 3.02; -3.92; 0.0; 77.8; 12.3; 58.1; 13.3;  ;  ;  ; 12.98; 57.2
24.07.2024 05:20:00; 96.6; 10.3; 95.5; 10.4; 13.11; 12.05; 0.22; 2942; 5.39; -3.84; 0.0; 77.8; 12.3; 58.1; 13.3;  ;  ;  ; 12.98; 57.2
24.07.2024 05:30:00; 96.6; 10.3; 95.3; 10.3; 13.09; 12.04; 0.26; 2991; 3.40; -3.77; 0.0; 77.8; 12.3; 58.1; 13.3;  ;  ;  ; 12.98; 57.2
24.07.2024 05:40:00; 96.6; 10.3; 95.4; 10.3; 13.07; 12.02; 0.37; 3093; 2.33; -3.70; 0.0; 77.8; 12.3; 58.1; 13.3;  ;  ;  ; 12.98; 57.2
24.07.2024 05:50:00; 95.9; 10.3; 94.5; 10.4; 13.05; 12.01; 0.35; 3229; 1.85; -3.65; 0.0; 77.7; 12.3; 58.1; 13.2;  ;  ;  ; 12.98; 57.2
24.07.2024 06:00:00; 95.3; 10.2; 94.0; 10.2; 13.03; 11.99; 0.35; 3417; 0.62; -3.60; 0.0; 77.8; 12.3; 58.1; 13.2;  ;  ;  ; 12.98; 57.2
24.07.2024 06:10:00; 96.5; 10.0; 95.1; 10.0; 13.01; 11.98; 0.28; 3256; 0.29; -3.56; 0.0; 77.8; 12.3; 58.1; 13.2;  ;  ;  ; 12.98; 57.2
24.07.2024 06:20:00; 95.8; 9.8; 94.6; 9.8; 12.99; 11.97; 0.32; 3340; 0.69; -3.52; 0.0; 77.8; 12.3; 58.1; 13.2;  ;  ;  ; 13.04; 57.2
24.07.2024 06:30:00; 95.0; 9.6; 93.6; 9.6; 12.97; 11.96; 0.41; 3184; 4.56; -3.46; 0.0; 77.8; 12.3; 58.1; 13.2;  ;  ;  ; 13.04; 57.2
24.07.2024 06:40:00; 95.0; 9.6; 93.6; 9.5; 12.95; 11.95; 0.27; 2919; 3.37; -3.40; 0.0; 77.8; 12.3; 58.1; 13.2;  ;  ;  ; 13.09; 57.2
24.07.2024 06:50:00; 92.8; 9.6; 90.9; 9.6; 12.94; 11.94; 0.44; 3392; 4.68; -3.38; 0.0; 77.8; 12.3; 58.1; 13.1;  ;  ;  ; 13.09; 57.2
24.07.2024 07:00:00; 93.0; 9.4; 91.2; 9.5; 12.92; 11.93; 0.44; 3317; 5.87; -3.39; 0.0; 77.8; 12.3; 58.1; 13.1;  ;  ;  ; 13.14; 57.2
24.07.2024 07:10:00; 95.2; 9.7; 93.7; 9.7; 12.90; 11.91; 0.40; 3246; -10.60; -3.44; 0.0; 77.8; 12.3; 58.1; 13.1;  ;  ;  ; 13.19; 57.2
24.07.2024 07:20:00; 95.6; 10.1; 94.8; 10.0; 12.88; 11.89; 0.70; 35; -9.26; -3.51; 0.0; 77.8; 12.3; 58.1; 13.0;  ;  ;  ; 13.24; 57.2
