Labels:; RVT81 Vlhkost_0,3m; RVT81 Teplota_0,3m; RVT81 Vlhkost 2m; RVT81 Teplota 2m; PT100 Teplota; PT100 Teplota 2; WS200 Rychlost Větru; WS200 Směr Větru; Hukseflux; NR Lite 2; Srážkoměr; Vlhk. půdy 10cm; Tepl. půdy 10cm; Vlhk. půdy 25cm; Tepl. půdy 25cm; Abs. tlak vzduchu; WS200 Quality; WS200 V-MAX; VACCU; Srážkoměr
Units:; %; °C; %; °C; °C; °C; m/s; °; W/m2; W/m2; mm; %; °C; %; °C; hPa; %; m/s; V; mm
06.08.2024 00:01:00; 96.6; 4.6; 95.2; 5.8; 12.92; 10.93; 0.09; 2708; 15.06; -6.83; 0.0; 76.4; 12.1; 62.6; 12.0;  ;  ;  ; 13.04; 108.5
06.08.2024 00:02:00; 96.6; 4.6; 95.2; 5.8; 12.92; 10.93; 0.15; 2908; 14.39; -6.85; 0.0; 76.4; 12.2; 62.6; 12.0;  ;  ;  ; 12.98; 108.5
06.08.2024 00:03:00; 96.6; 4.6; 95.3; 5.9; 12.92; 10.93; 0.10; 2870; 14.53; -6.88; 0.0; 76.4; 12.2; 62.6; 12.0;  ;  ;  ; 12.98; 108.5
06.08.2024 00:04:00; 96.6; 4.6; 95.6; 6.0; 12.91; 10.93; 0.12; 2830; 14.38; -6.90; 0.0; 76.4; 12.2; 62.6; 12.0;  ;  ;  ; 13.04; 108.5
06.08.2024 00:05:00; 96.6; 4.6; 95.4; 6.0; 12.91; 10.93; 0.16; 2812; 15.09; -6.92; 0.0; 76.4; 12.2; 62.6; 12.0;  ;  ;  ; 12.98; 108.5
06.08.2024 00:06:00; 96.6; 4.7; 95.7; 6.2; 12.91; 10.93; 0.11; 2877; 14.60; -6.95; 0.0; 76.4; 12.1; 62.6; 12.0;  ;  ;  ; 12.98; 108.5
06.08.2024 00:07:00; 96.6; 4.9; 95.2; 6.3; 12.90; 10.92; 0.17; 2648; 13.97; -6.97; 0.0; 76.4; 12.1; 62.6; 12.0;  ;  ;  ; 12.98; 108.5
06.08.2024 00:08:00; 96.6; 5.0; 94.7; 6.4; 12.90; 10.92; 0.12; 2859; 14.73; -7.00; 0.0; 76.4; 12.2; 62.6; 12.0;  ;  ;  ; 12.98; 108.5
06.08.2024 00:09:00; 96.6; 5.1; 94.0; 6.4; 12.90; 10.92; 0.15; 2739; 13.54; -7.02; 0.0; 76.4; 12.1; 62.6; 12.0;  ;  ;  ; 13.04; 108.5
