Úpské rašeliniště; 63100929; UTC+02

Labels:; RVT81 Vlhkost_0,3m; RVT81 Teplota_0,3m; RVT81 Vlhkost 2m; RVT81 Teplota 2m; PT100 Teplota; PT100 Teplota 2; WS200 Rychlost Větru; WS200 Směr Větru; Hukseflux; NR Lite 2; Srážkoměr; Vlhk. půdy 10cm; Tepl. půdy 10cm; Vlhk. půdy 25cm; Tepl. půdy 25cm; Abs. tlak vzduchu; RVT81 Teplota_SHT_0,3m; WS200 Quality; WS200 V-MAX; VACCU; Srážkoměr
Units:; %; °C; %; °C; °C; °C; m/s; °; W/m2; W/m2; mm; %; °C; %; °C; hPa; °C; %; m/s; V; mm
22.06.2025 08:10:00; 41.4; 17.2; 41.8; 15.9; 9.74; 8.51; 1.65; 8; -43.59; -3.69; 0.0; 76.0; 9.4; 53.4; 10.1; 863.9; 17.2; 100.0; 3.30; 13.71; 1291.9
22.06.2025 08:20:00; 40.7; 17.5; 43.2; 16.1; 9.71; 8.51; 1.45; 9; -48.89; -3.03; 0.0; 76.0; 9.4; 53.4; 10.2; 863.9; 17.5; 100.0; 3.10; 13.58; 1291.9
22.06.2025 08:30:00; 42.2; 17.8; 42.4; 16.3; 9.68; 8.51; 1.25; 181; -53.04; -2.32; 0.0; 76.0; 9.4; 53.4; 10.3; 863.9; 17.9; 100.0; 3.00; 13.47; 1291.9
22.06.2025 08:40:00; 41.4; 18.0; 42.2; 16.5; 9.65; 8.52; 1.10; 350; -57.08; -1.53; 0.0; 76.0; 9.4; 53.4; 10.4; 863.9; 18.1; 100.0; 3.00; 13.40; 1291.9
22.06.2025 08:50:00; 37.7; 18.4; 40.2; 16.9; 9.63; 8.52; 1.15; 51; -61.61; -0.68; 0.0; 76.0; 9.4; 53.4; 10.5; 863.8; 18.4; 100.0; 3.70; 13.45; 1291.9
22.06.2025 09:00:00; 40.9; 18.6; 41.7; 16.9; 9.61; 8.54; 1.65; 90; -66.90; 0.23; 0.0; 76.0; 9.4; 53.4; 10.6; 863.8; 18.7; 100.0; 3.70; 13.40; 1291.9
22.06.2025 09:10:00; 41.3; 18.7; 43.1; 16.5; 9.59; 8.55; 2.20; 99; -69.96; 1.23; 0.0; 76.0; 9.4; 53.3; 10.8; 863.8; 18.8; 100.0; 4.00; 13.58; 1291.9
22.06.2025 09:20:00; 40.1; 18.8; 42.6; 16.6; 9.57; 8.57; 2.15; 99; -74.33; 2.30; 0.0; 76.0; 9.4; 53.3; 10.9; 863.8; 18.9; 100.0; 4.00; 13.42; 1291.9
22.06.2025 09:30:00; 41.3; 19.1; 41.4; 17.1; 9.56; 8.59; 1.60; 76; -80.14; 3.46; 0.0; 76.0; 9.4; 53.3; 11.1; 863.8; 19.2; 100.0; 4.50; 13.42; 1291.9
